"","Accumbens.Area","Amygdala","Caudate","Cerebellum.Exterior","Cerebellum.White.Matter","Cerebral.White.Matter","Hippocampus","Inf.Lat.Vent","Lateral.Ventricle","Pallidum","Putamen","Thalamus.Proper","Ventral.DC","Basal.Forebrain","ACgG.anterior.cingulate.gyrus","AIns.anterior.insula","AOrG.anterior.orbital.gyrus","AnG.angular.gyrus","Calc.calcarine.cortex","CO.central.operculum","Cun.cuneus","Ent.entorhinal.area","FO.frontal.operculum","FRP.frontal.pole","FuG.fusiform.gyrus","GRe.gyrus.rectus","IOG.inferior.occipital.gyrus","ITG.inferior.temporal.gyrus","LiG.lingual.gyrus","LOrG.lateral.orbital.gyrus","MCgG.middle.cingulate.gyrus","MFC.medial.frontal.cortex","MFG.middle.frontal.gyrus","MOG.middle.occipital.gyrus","MOrG.medial.orbital.gyrus","MPoG.postcentral.gyrus.medial.segment","MPrG.precentral.gyrus.medial.segment","MSFG.superior.frontal.gyrus.medial.segment","MTG.middle.temporal.gyrus","OCP.occipital.pole","OFuG.occipital.fusiform.gyrus","OpIFG.opercular.part.of.the.inferior.frontal.gyrus","OrIFG.orbital.part.of.the.inferior.frontal.gyrus","PCgG.posterior.cingulate.gyrus","PCu.precuneus","PHG.parahippocampal.gyrus","PIns.posterior.insula","PO.parietal.operculum","PoG.postcentral.gyrus","POrG.posterior.orbital.gyrus","PP.planum.polare","PrG.precentral.gyrus","PT.planum.temporale","SCA.subcallosal.area","SFG.superior.frontal.gyrus","SMC.supplementary.motor.cortex","SMG.supramarginal.gyrus","SOG.superior.occipital.gyrus","SPL.superior.parietal.lobule","STG.superior.temporal.gyrus","TMP.temporal.pole","TrIFG.triangular.part.of.the.inferior.frontal.gyrus","TTG.transverse.temporal.gyrus"
"1015",0.800976668037712,0.859645848167752,0.922965079385225,0.964320673044547,0.92921928599441,0.94401887351566,0.883735466324141,0.383547008547009,0.915397159166571,0.902699593448335,0.936278103064276,0.938057994731972,0.910979332470074,0.778923253150057,0.811658220256734,0.902660922428847,0.792348967806507,0.740538036315061,0.825045971683124,0.826019330599944,0.765631708813886,0.836253189429155,0.753867305926523,0.867537434722812,0.809000133949348,0.775166841366708,0.692682149313459,0.785544609446405,0.66898102951648,0.779540411929589,0.802430201118289,0.657080530787249,0.832613680927851,0.695582941048904,0.863954806958203,0.648194065930816,0.74736691192232,0.852868208579338,0.84863212536951,0.762240063151162,0.407421325318338,0.825889844609707,0.717458834329781,0.793586119473488,0.865660978098401,0.791798984228816,0.894976698236797,0.72380353096297,0.850352211539859,0.853393933240296,0.824766674254496,0.851263487632853,0.703214799620016,0.713506838538275,0.853074636760065,0.805420949379297,0.708781495026956,0.666330993985682,0.846955315458202,0.793802921105611,0.930893502478171,0.750278522246434,0.787103722008573
"1036",0.862940284941225,0.851508897608284,0.927427717601752,0.960391622985881,0.92600180442484,0.938885714388636,0.839827269074022,0.480887285614835,0.927887965823362,0.877081213201119,0.926639905324565,0.913501883180823,0.901237682183573,0.612471605217445,0.820895621398419,0.907359031096512,0.755805324069207,0.697786378500014,0.744446485157499,0.815221940921348,0.71955599600749,0.817868856769986,0.734244661059815,0.872957201898798,0.73306170536636,0.783758490322367,0.599938564920404,0.747653060449816,0.777582844958738,0.627493969669227,0.821597403001982,0.485109831793299,0.891630752174863,0.632828424388792,0.81466183086652,0.751433526869771,0.865014907875972,0.850709108567242,0.833400325760255,0.731953440479688,0.568823582121748,0.833135446827775,0.463723807659112,0.677171561241058,0.766769055094113,0.837619765986142,0.87575721600468,0.781894654711467,0.863643321559423,0.383997880897372,0.813608024495882,0.899958121240846,0.78187298897183,0.748894047566905,0.871419122491735,0.845590114451954,0.795051958297152,0.69546862446778,0.816944863599734,0.868696097970665,0.886808442858172,0.750544034962592,0.787898142866549
"1017",0.789974070872947,0.849656563427842,0.883760046197856,0.963313812812826,0.930827945355258,0.950682589879215,0.888894685366893,0.545953633251862,0.884397750819969,0.904044831589322,0.943382729243551,0.935105562299693,0.912662223055119,0.674265261891646,0.843808592360588,0.899215603426219,0.638657147515472,0.771229951242706,0.873683971669152,0.791017033531843,0.813548727012568,0.757998872167582,0.65230132573946,0.821660506818665,0.733338061952306,0.74393319409739,0.695097635447429,0.757726823236072,0.62613130015612,0.593043890782584,0.874448189684636,0.721853458789826,0.857342666177102,0.748329840941342,0.843065886278922,0.673978436861153,0.778125931732745,0.847859664401823,0.802315270742059,0.771935450914644,0.397433335626534,0.721977230875779,0.580490849212375,0.821928660730902,0.875436034591444,0.794059741780029,0.874918072247281,0.870060186871264,0.869417782309612,0.754053754494724,0.81760612426565,0.854936064585283,0.82529085141596,0.439472385911517,0.843599841540789,0.803675466812336,0.829165641202718,0.78475430802145,0.876355478951231,0.703579006367975,0.908106575586878,0.762923720774464,0.812911023971881
"1003",0.79668137092347,0.853509425155752,0.883584945143643,0.945106327338479,0.910079155810568,0.94151183308544,0.87354840374383,0.656083842396799,0.83119427596581,0.894612114502444,0.92562523154575,0.920474176991784,0.905751352690566,0.649527524714092,0.770246811333472,0.89794360698338,0.681347068232314,0.793516362605078,0.769380268799866,0.767113136629794,0.747773309669589,0.765002215192441,0.737752205600307,0.826273239560166,0.814496696455649,0.807754794306517,0.68429138182944,0.821780516048194,0.82452698254893,0.605782993821873,0.770910468832305,0.690121953371808,0.895850456106011,0.822948596482029,0.841815135171068,0.698300206698863,0.882501709814433,0.746515731255258,0.802097891028372,0.794885956597886,0.644968769536304,0.771417352720406,0.419133476396319,0.774038767074256,0.820534739435173,0.785855102278007,0.855909466320901,0.668417367743733,0.84514945963031,0.753637629556905,0.785131474494848,0.895397869105677,0.717298332238792,0.79007171853292,0.883248198000842,0.722930639401244,0.767045280358872,0.735644823753616,0.815918004672721,0.847909442288183,0.811935379733908,0.760165963448043,0.757680841162591
"1004",0.800027536830511,0.839919737963168,0.914960913227,0.962738359405454,0.922389892624486,0.948097462824723,0.898283235426619,0.605620712994111,0.921533384983887,0.895562590674196,0.93896139354298,0.942379862672742,0.922809549102852,0.617442403944668,0.863407316435679,0.904959729552735,0.616557294524172,0.704285927841327,0.843522620508341,0.775799126428881,0.797457587665495,0.817360409336451,0.720646887229718,0.848321024727785,0.818514894199873,0.790905725741006,0.736562446869025,0.833451938553242,0.839635041314143,0.480803292276583,0.876958213100461,0.656846589542992,0.823365708011453,0.754385110843918,0.866685012672516,0.522831116252169,0.679817405880486,0.817481444094831,0.765266982411626,0.794431940226486,0.646729120469969,0.754477957859568,0.530419688536572,0.837833909090408,0.859907409099992,0.830554474468475,0.847667509125254,0.677700507826004,0.841858383220676,0.841427263262324,0.736793410850653,0.875256563782851,0.657441552327507,0.778281024122299,0.824300602407056,0.781788901784518,0.72031306013839,0.767887229226281,0.843836923791931,0.723483837954305,0.908779363705148,0.731704310454833,0.786928586148803
"1005",0.820963704630788,0.856184634590642,0.922092900759142,0.962159069231826,0.919663708492176,0.932871546020077,0.827019855103342,0.465501800751847,0.954960898413387,0.900662083569015,0.92228789109788,0.923287488626031,0.917773477317303,0.702241348395195,0.858368417169138,0.891783261639872,0.740865272639107,0.653266045527285,0.762656427213378,0.83034147726659,0.764927700102889,0.823489308310049,0.703205679862306,0.780958114750963,0.84452975090831,0.747608768793129,0.768171332749463,0.811765727294888,0.822743619312013,0.669085157479623,0.805373407929198,0.554039470765674,0.876907193075254,0.748567819148936,0.82522825005616,0.642199502317398,0.804619695630015,0.794433467841069,0.834642738030739,0.80367611112292,0.749561096728286,0.58308608080817,0.352469153758271,0.702613815577703,0.834277750569092,0.782350276429923,0.870212905668381,0.737295223146801,0.832874675417289,0.843766654508029,0.802889264368238,0.855540719998128,0.655960547350682,0.806522798869322,0.856345128703045,0.839807960812734,0.730351150371785,0.688134613360355,0.830670652593519,0.701866474292452,0.914669665958202,0.620307294495626,0.818306587240463
"1018",0.843387305763543,0.812448058192062,0.90694541815263,0.965595960971787,0.933735721911964,0.950896436233742,0.866037315270556,0.550583333333333,0.916321873601394,0.908266239075943,0.935293351499022,0.930594446553356,0.908479195144599,0.706113400740986,0.817039326297229,0.856616512877278,0.652275198949644,0.753883597559052,0.847779548651702,0.805575485773957,0.811330527019353,0.830460029034617,0.669930230326622,0.745475673733551,0.85754751583088,0.773887661700605,0.735458941234162,0.824752612723943,0.823468267487012,0.606861062237122,0.885477321362823,0.758523991351223,0.884439497728406,0.739354651478599,0.848162853271849,0.651258033598523,0.664066874793635,0.822064375999148,0.846809336240959,0.781367147777083,0.655235423824885,0.800411184179899,0.372021392739782,0.775175044656913,0.84444390584375,0.818291096640637,0.81270707523195,0.770163128266699,0.885644942386473,0.846746007211074,0.789245621091893,0.885612447677861,0.769631519153186,0.47290198590647,0.862182444699882,0.780320159312497,0.829554856066463,0.685602687095357,0.844819365311282,0.856840393178553,0.918520862807662,0.738716481309289,0.737754381712013
"1019",0.836286400677629,0.823952761713704,0.89155711187921,0.95932067781842,0.927384265328673,0.93667873882078,0.889147597857699,0.636649994629456,0.847443535276832,0.893188449953431,0.932424295343037,0.926862172721965,0.922167619861992,0.61124817251462,0.794507490547991,0.903270554961282,0.787314547394167,0.771508969795053,0.80086667202387,0.754182394067272,0.713441845704173,0.82354694485842,0.712786059055499,0.714232450206119,0.794868294449889,0.782824408623412,0.665949849075163,0.825354492329319,0.765262494503887,0.664721626151199,0.818495215515192,0.460730429788355,0.874443046470348,0.809597106700775,0.881723557869422,0.695160347040053,0.80601621380507,0.739825244072341,0.794205111559503,0.511300798116083,0.483328638932144,0.850809418690213,0.620346989953419,0.801781086764106,0.832303846248679,0.834126862233144,0.870574414244537,0.634493501869325,0.792792960250494,0.857146127424374,0.825779131997344,0.901080412410364,0.72941817316893,0.711128530134595,0.87945977610049,0.796222884402562,0.794670925871281,0.689188574665901,0.829236274793285,0.799420936067161,0.889144317508071,0.730490573487316,0.807001881966897
"1101",0.801358995584989,0.839445136009156,0.910909510188194,0.950360212985051,0.883229439411339,0.940123409598784,0.861378720515741,0.660674521832741,0.953167570436876,0.894061910235125,0.934796829676073,0.920421950971433,0.896264214266132,0.5451620256716,0.786428988734808,0.882125240757507,0.673765339712926,0.836409536001485,0.757961144922352,0.786431546067993,0.77602412062894,0.71662300160736,0.790544213786965,0.835611168084178,0.820936519037267,0.831297238059174,0.778019237493533,0.778531612953203,0.77273274031348,0.805158185497707,0.832287156892424,0.625855038528312,0.865131705952308,0.764358926607607,0.836688892733529,0.656643666812838,0.780379799894672,0.796565739365063,0.828648941603749,0.812935873358834,0.665399729973193,0.789314716620478,0.617256861770754,0.767144559623297,0.841713766081579,0.761044985197487,0.855435965424125,0.788531702984969,0.828278199625866,0.830424255241077,0.730031822381452,0.868824833655314,0.821174582952924,0.843649632508053,0.838243721616845,0.789078980758842,0.846515915108328,0.757021552212342,0.782400271288978,0.818360168911113,0.8657758759866,0.725351104861584,0.760131991954317
"1104",0.819540950601644,0.802096556176488,0.914426777481874,0.950167119205365,0.899130171528924,0.918755381051598,0.87784335621169,0.570149662847432,0.931318819879207,0.89101589284336,0.941100165382617,0.925804321072713,0.895676524969722,0.273288987435329,0.74836544889221,0.887164146234033,0.729729497495367,0.76517721115094,0.827114033598939,0.766929177159982,0.809424295121921,0.709096912463353,0.769674324703083,0.851777550330391,0.812430808641905,0.750704898468153,0.69952091312617,0.823417317045153,0.812450990058767,0.731387965279207,0.785222539988907,0.524396931422893,0.883811360257454,0.730579301425176,0.82499237405596,0.694518239864541,0.751876696371483,0.758839519086457,0.835785821198354,0.65460245574239,0.61559732972612,0.75120597283516,0.620066250449651,0.79334631067028,0.837508315178921,0.828975020091392,0.847573913942643,0.527713146224155,0.761470788452358,0.844605568804782,0.770951984446069,0.892732490378112,0.708101800335477,0.791749770497135,0.870609650577979,0.744897112558566,0.665306196146855,0.708076215270823,0.720269061498575,0.837498898958484,0.863045625798214,0.762121124798021,0.72458017384265
"1107",0.861799750791755,0.840751904215089,0.913129975742973,0.95413405677676,0.903464916901299,0.925469197658432,0.878200197246071,0.60742729367077,0.917748169393529,0.880319620272356,0.927682888049901,0.928231455544406,0.890530842764055,0.176302480773259,0.691182836690911,0.869704919415086,0.745024156273421,0.793744350731693,0.854846249831824,0.836952933028718,0.803984404357362,0.838171079862901,0.790369534229808,0.879415867497051,0.643079681547387,0.753282448271192,0.701666758407665,0.687147075565994,0.822843778104537,0.693037983334791,0.804399236338547,0.607529997943199,0.858992520942177,0.688234237419174,0.834414580156001,0.614167842796656,0.693301082166624,0.772081125354708,0.859759539101081,0.864421752599072,0.700657596554477,0.703431672007192,0.73602356151096,0.813803347068776,0.851919629579933,0.811359582457571,0.858609489926447,0.786270040243531,0.820609940173474,0.790703816455313,0.789029968029896,0.850980118986197,0.655991878172589,0.781252165132467,0.868129242410462,0.707657311501997,0.800998188740262,0.701171191643796,0.836256077712177,0.829047985688979,0.908620900643411,0.792300576252509,0.720431114848191
"1110",0.827287681927173,0.828254880100241,0.889547799239429,0.955562391759007,0.894079534320593,0.925981531954027,0.901216089198479,0.656815072444657,0.877801241625141,0.898429771465938,0.933894625263443,0.93298819604998,0.903823935456176,0.313678681311674,0.721067241811132,0.870931689271099,0.668981956809516,0.794205273816396,0.808062967691563,0.83823054757404,0.790313169979808,0.802449967402337,0.713082536471157,0.844332155832733,0.793824454405396,0.767612827018937,0.753815313128101,0.739541810708732,0.812327053524355,0.640921317113412,0.756740116552278,0.494172391163907,0.885305741373628,0.803263105178675,0.851065879519842,0.677647491653045,0.725636463413198,0.661138373082584,0.72952733255557,0.821354540765498,0.661900311822636,0.759552335750638,0.403508531938398,0.797623672994092,0.848490465614701,0.835272336901693,0.824906639974773,0.783530020507836,0.884941506874896,0.836475447818153,0.808680122563865,0.867639740184896,0.726357723955806,0.750452608180564,0.88798098922336,0.717368498138977,0.807997304796642,0.70400105205885,0.887088307172835,0.740143594235397,0.911917006199033,0.691697134863037,0.702307798870433
"1113",0.793307458394885,0.832486951615178,0.888477204513869,0.954356655923297,0.911873843052225,0.940091549034534,0.88369843446292,0.638770518511622,0.91849293221476,0.883419977006465,0.930572339108052,0.93730930958743,0.909023641637235,0.307835022120736,0.8803150714511,0.907216801640273,0.518854388095129,0.674995158273849,0.797764792481472,0.848437908208944,0.671025758562519,0.864483593113669,0.763969098748957,0.765938884647167,0.865098985465873,0.836938254851646,0.680339910224037,0.819296973162741,0.819350794535618,0.405192880767593,0.894890481875341,0.805296983157032,0.788192483939965,0.734372640729604,0.833826670324957,0.68535873564812,0.77662430171663,0.854958530265455,0.782707910708613,0.68469926747033,0.708991982363397,0.748449079954711,0.355984804860395,0.751000178046512,0.780649900844896,0.834691878594159,0.891844235041619,0.778105725668033,0.890755542622619,0.821764974424192,0.822327537934143,0.866952802102992,0.635185426422494,0.8509995849215,0.822692883372572,0.810549224160623,0.755297249261697,0.776461896681476,0.859121899745063,0.847415809825282,0.919858648112897,0.585768314972678,0.730011386216176
